source,reliability,bias
19th News,45.18,-9.89
ABC News,46.64,-4.66
ABC This Week with George Stephanopoulos,43.53,-7.38
ABC World News Tonight with David Muir,49.67,-2.0
Advocate Magazine,37.78,-15.03
Agence France-Presse,48.05,-2.01
Air Force Times,46.01,1.32
Al Jazeera,45.54,-4.44
AL.com,46.6,-1.56
All In with Chris Hayes,38.17,-16.0
AlterNet,23.28,-19.34
American Greatness,19.75,23.09
American Independent,38.49,-14.71
American Prospect,35.21,-14.92
American Thinker,18.41,25.36
Anderson Cooper 360,38.71,-13.52
Andrea Mitchell Reports,40.33,-12.08
Aol.com,44.52,-11.07
AP,49.05,-2.03
Apple News Today,45.44,-6.37
Arizona Daily Star,45.91,-2.07
Armchair Expert with Dax Shepard,37.42,-9.03
Army Times,47.8,0.31
ARS Technica,46.2,-2.05
Aspen Times,46.32,-0.32
At this Hour with Kate Bolduan,35.44,-11.44
Atlanta Black Star,45.68,-4.95
Atlanta Journal-Constitution,45.43,-3.27
Axios,45.62,-3.95
AZ Central,43.55,-5.12
Baltimore Sun,45.78,-5.53
Bannon’s War Room,9.86,29.29
BBC,46.27,-2.42
Bearing Arms,26.82,19.46
Before It’s News,4.9,30.75
Benzinga,42.79,0.07
Big League Politics,18.46,25.33
Bill O’Reilly,21.72,25.55
Billboard,40.73,-2.23
Bipartisan Report,21.53,-21.78
Bloomberg Government,47.17,-5.37
Bloomberg News,45.62,-2.7
BNO,49.14,-0.51
Boing Boing,39.13,-7.05
Boston Globe,44.73,-9.63
Boston Herald,40.34,10.23
Breitbart,29.91,17.1
Bring Me the News,46.93,-1.98
BroBible,39.83,-0.98
BuzzFeed News,43.22,-7.9
Capitol Weekly,38.91,-2.4
Cato Institute,41.17,6.2
Cavuto Live,36.0,10.78
CBN,33.34,16.05
CBS Evening News with Nora O’Donnell,49.22,-5.11
CBS Morning News,47.11,-2.89
CBS News,46.87,-3.41
CFO,47.67,-0.02
Charleston Gazette-Mail,45.43,-3.71
